sample,mass,salinity,Sample.ID,Type, Notes
20160317_Tank4, 60.1647, 27.5, TANK4, TANK, Bottle124
20160317_Tank6, 59.8785, 27.4, TANK6, TANK, Bottle127
20160314_Tank1, 61.0018, 27.4, TANK1, TANK, Bottle91
20160314_Tank2, 59.9961, 27.3, TANK2, TANK, Bottle103
20160314_Tank3, 60.9900, 27.3, TANK3, TANK, Bottle105
20160314_Tank4, 60.9227, 27.4, TANK4, TANK, Bottle89
20160314_Tank5, 59.6788, 27.3, TANK5, TANK, Bottle109
20160313_Tank1, 60.1156, 27.5, TANK1, TANK, Bottle86
20160313_Tank2, 59.8439, 27.4, TANK2, TANK, Bottle87
