sample,mass,salinity,Sample.ID,Type, Notes
20160321_Tank5,59.9394,26.6,TANK5,TANK,Bottle198
20160321_Tank6,59.9707,26.6,TANK6,TANK,Bottle200
20160320_Tank1,59.7065,26.2,TANK1,TANK,Bottle174
20160320_Tank2,60.4972,26.2,TANK2,TANK,Bottle176
20160320_Tank4,60.1986,26.1,TANK4,TANK,Bottle180
20160320_Tank3,60.6786,26.2,TANK3,TANK,Bottle177
20160320_Tank5,58.7344,26.1,TANK5,TANK,Bottle182
20160320_Tank6,60.9880,26.1,TANK6,TANK,Bottle184
20160319_Tank1,60.5165,26.1,TANK1,TANK,Bottle146
