Sample.ID,TA,Mass,Type
20180710_JUNK,2050.353547,60.1947,Junk
20180710_CRM1,2223.875049,60.6675,CRM
20180710_CRM2,2223.47411,59.3856,CRM
20160314_Tank1,2714.332356,60.3463,Tank
20160317_Header1,2726.43423,59.5903,Header
20160314_Tank4,2700.183834,58.7874,Tank
20160314_Tank6,2581.603732,60.8088,Tank
20160314_Tank6,2576.748721,60.0862,Tank
20160317_Tank1,2722.44267,60.5281,Tank
20160317_Tank2,2893.689544,59.766,Tank
20160317_Tank2,2911.165227,60.9724,Tank
20160317_Tank5,2743.907536,60.3306,Tank
