"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20160314,"20160314_Tank1","pH 7.41",27.3,13.3,7.42975382185579,95.4285813003933,2323.48725149542,2619.24002325954,40.4708630092013,2755.13946756914,2714.332356,0.632788267704669
20160314,"20160314_Tank4","pH 7.41",27.3,13.26,7.41942220689986,97.3933201089247,2368.34740495477,2607.7993666725,39.2859323401168,2744.47861912154,2700.183834,0.614181197063086
20160314,"20160314_Tank6","pH 7.90",27.3,13.49,7.90164184568146,28.4802505939608,697.572944700113,2327.66506980495,107.391302743805,2463.53662314272,2581.603732,1.68017867642349
20160314,"20160314_Tank6","pH 7.90",27.3,13.49,7.90164184568146,28.4258652348204,696.24086857311,2323.22020369108,107.186230300745,2458.83229922664,2576.748721,1.67697023833634
20160317,"20160317_Tank1","pH 7.41",27.5,13.86,7.4234689969901,95.5373727394148,2369.87146946147,2625.93884333488,41.0868938972928,2762.56310997159,2722.44267,0.643382534020173
20160317,"20160317_Tank2","pH 7.28",27.4,13.81,7.06198810227455,238.82563066329,5911.78218176218,2848.84175310912,19.3020067920913,3106.9693905645,2893.689544,0.302255754181832
20160317,"20160317_Tank2","pH 7.28",27.4,13.81,7.06198810227455,240.271074613057,5947.56290429469,2866.08379310474,19.4188282942831,3125.77369601208,2911.165227,0.304085096158031
20160317,"20160317_Tank5","pH 7.41",27.4,13.84,7.4288609594413,95.2374811755985,2359.63381247116,2645.94121897942,41.7724934639549,2782.95119361897,2743.907536,0.654193489010952
